Simulated control sequence with PD control:
Sequence steps: [0, 10, -10, 5, -5] 
Kp = 0.7213012910520777
Kd = 0.39466422611731
Limitations of the gamma control: +/- 8
Optimization solver: Nelder-Mead
Cost function type: penalty
Time(s)	Roll(deg)	Error	Control_cmd	gamma_L	gamma_R	target
0.70500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.70750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.71000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.71250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.71500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.71750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.72000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.72250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.72500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.72750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.73000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.73250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.73500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.73750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.74000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.74250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.74500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.74750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.75000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.75250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.75500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.75750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.76000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.76250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.76500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.76750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.77000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.77250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.77500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.77750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.78000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.78250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.78500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.78750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.79000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.79250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.79500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.79750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.80000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.80250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.80500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.80750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.81000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.81250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.81500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.81750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.82000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.82250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.82500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.82750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.83000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.83250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
